Time,Ax,Ay,Az,Gx,Gy,Gz
0.01658909,0,0,0,0,0,0
0.01658909,-16456,-372,-248,-3248,-2,39
0.1330836,-16476,-548,-396,-3232,-112,159
0.1330836,-16304,-596,-216,-3216,-122,172
0.1330836,-16412,-476,-448,-3232,-52,169
0.03322544,-16440,-528,-208,-3232,-35,145
0.01659031,-16416,-496,-360,-3248,-60,97
0.01659031,-16524,-512,-248,-3200,-153,248
0.01659031,-16472,-516,-224,-3216,-83,188
0.01659165,-16392,-372,-260,-3216,-117,138
0.0165868,-16412,-472,-244,-3216,-61,109
0.01659099,-16324,-556,-116,-3216,-110,116
0.0165915,-16464,-536,-148,-3200,-119,180
0.0165915,-16432,-564,-356,-3184,-27,194
0.01659062,-16432,-540,-168,-3232,-77,194
0.01659062,-16500,-488,-380,-3232,-89,176
0.0165903,-16436,-568,-496,-3200,-100,83
0.0165903,-16444,-572,-232,-3200,-114,64
0.0165924,-16444,-512,-284,-3200,-196,114
0.01659151,-16364,-536,-260,-3232,-91,106
0.01659151,-16444,-420,-316,-3232,-64,107
0.01659279,-16424,-464,-292,-3232,-59,185
0.01659279,-16488,-496,-364,-3216,-74,277
0.01671912,-16348,-492,-272,-3200,21,-74
0.01661416,-16400,-520,60,-3200,-133,300
0.01658776,-16340,-316,-332,-3184,-190,267
0.01658776,-16432,-392,-188,-3216,-146,59
0.01658905,-16480,-372,-372,-3200,-115,252
0.01658779,-16388,-512,-208,-3200,-58,128
0.01658779,-16444,-416,-272,-3232,-73,165
0.01658996,-16408,-572,-32,-3216,-69,138
0.01658887,-16524,-576,-160,-3200,-105,213
0.01658798,-16452,-512,-456,-3200,-59,178
0.01658798,-16440,-556,-140,-3216,-67,190
0.01658989,-16408,-536,-276,-3216,-29,145
0.01658989,-16500,-452,-152,-3200,-85,229
0.01658926,-16416,-548,-304,-3184,-137,224
0.01658926,-16392,-512,-276,-3168,-51,125
0.01658926,-16360,-552,-208,-3168,-126,145
0.01659104,-16524,-480,-180,-3216,-90,18
0.01659104,-16400,-436,-340,-3216,-130,174
0.01659134,-16484,-596,-228,-3248,-129,130
0.01659134,-16324,-512,-240,-3216,-104,58
0.01658821,-16456,-492,-276,-3232,-143,96
0.01659142,-16416,-456,-248,-3216,-114,88
0.01658879,-16400,-500,-180,-3200,-108,153
0.01659125,-16460,-352,-332,-3184,-151,228
0.01659125,-16476,-392,-324,-3216,-122,168
0.01659011,-16388,-540,-284,-3216,-31,93
0.01659011,-16464,-476,-192,-3200,-65,122
0.01659155,-16428,-524,-32,-3200,-198,201
0.0165897,-16400,-456,-536,-3184,-206,393
0.01658885,-16324,-472,-368,-3184,2,-1
0.0165909,-16516,-464,-200,-3200,14,63
0.01658799,-16580,-604,-64,-3216,-186,110
0.01659362,-16400,-432,-256,-3184,-206,441
0.01658487,-16472,-380,-424,-3216,2,3
0.01658895,-16460,-512,-232,-3200,-2,-60
0.01658895,-16572,-600,-132,-3168,54,267
0.01658994,-16432,-396,-228,-3200,52,316
0.01658742,-16432,-308,-592,-3216,232,83
0.01659262,-16360,-412,-112,-3184,156,-16
0.01659166,-16636,-636,-432,-3216,61,8
0.01659166,-16484,-948,-96,-3216,-196,-338
0.01658929,-16488,-808,24,-3200,-684,321
0.01658929,-16308,-288,-368,-3200,-880,535
0.01659114,-16408,4,-576,-3184,-578,169
0.01659114,-16408,-160,-84,-3200,-247,82
0.01658728,-16392,-380,-68,-3168,65,-49
0.01658728,-16468,-768,36,-3200,33,-204
0.01659101,-16488,-928,-228,-3200,-116,307
0.01658788,-16412,-732,-452,-3232,-85,558
0.01659192,-16420,-540,-512,-3200,61,195
0.01659066,-16364,-632,-140,-3200,-55,-41
0.01659066,-16432,-472,0,-3216,-517,-27
0.01659012,-16476,-124,-312,-3168,-522,319
0.01659012,-16188,-180,-412,-3184,-75,-129
0.01659182,-16436,-204,-164,-3216,80,-575
0.01658859,-16512,-404,20,-3184,119,-292
0.01658943,-16740,-476,-148,-3152,105,278
0.01658938,-16484,-336,-80,-3184,84,79
0.01658938,-16440,-256,-204,-3168,45,142
0.01658956,-16368,-308,-228,-3184,30,44
0.01658956,-16396,-464,-76,-3200,-85,-181
0.01658667,-16516,-676,96,-3200,-319,119
0.016591,-16492,-536,28,-3200,-366,310
0.016591,-16596,-364,-236,-3184,-281,212
0.01659084,-16448,-344,-144,-3184,-80,485
0.01658572,-16480,-356,24,-3184,12,429
0.01658572,-16592,-332,-32,-3152,132,144
0.01658753,-16420,-352,60,-3200,97,352
0.0169836,-16400,-312,-60,-3168,139,175
0.0169836,-16536,-392,-264,-3168,165,368
0.01658933,-16480,-456,-464,-3200,245,182
0.0165905,-16404,-400,-228,-3200,97,317
0.01659009,-16364,-364,-136,-3216,-11,503
0.01662143,-16296,-536,-692,-3200,14,141
0.01662143,-16264,-868,-92,-3200,-125,-183
0.01659436,-16616,-504,60,-3200,-507,289
0.01659465,-16552,-448,-184,-3184,-437,370
0.01659465,-16380,-276,-224,-3200,-183,311
0.01659791,-16208,-248,-120,-3184,26,228
0.0165974,-16400,-336,-332,-3184,137,165
0.01659712,-16384,-444,-164,-3216,282,-90
