Time,Ax,Ay,Az,Gx,Gy,Gz
0.01658091,0,0,0,0,0,0
0.01658091,-9371.431,-719.525,-2342.357,-7166.508,-514.4341,-1346.432
0.08289278,-12617.63,-1247.261,-3078.24,-8857.157,-799.4835,-1519.62
0.08289278,-12604.51,-1227.093,-2916.741,-9325.887,-853.8868,-1842.267
0.08289278,-12256.96,-1221.005,-2860.761,-9554.178,-884.8995,-1975.309
0.08289278,-11969.35,-1160.687,-2790.414,-9688.56,-904.9383,-1902.207
0.08289278,-11772.6,-1150.77,-2681.039,-9730.743,-899.076,-1961.875
0.04973698,-11632.43,-1151.635,-2647.968,-9718.597,-907.8962,-2042.881
0.04973698,-11602.42,-1107.195,-2690.067,-9687.616,-882.0036,-1972.551
0.01658,-11540.35,-1076.253,-2680.451,-9603.05,-846.9588,-1954.785
0.01658235,-11514.78,-1058.666,-2646.402,-9511.321,-828.8779,-2026.761
0.01657754,-11423.75,-1058.003,-2649.637,-9383.194,-825.9023,-1896.489
0.01657615,-11324.61,-1031.811,-2628.228,-9275.158,-802.7711,-1870.12
0.01657615,-11211.11,-1035.779,-2574.996,-9166.456,-801.4155,-1948.527
0.01657855,-11119.96,-1045.927,-2579.323,-9079.287,-806.6275,-1817.244
0.01657855,-11058.62,-995.3281,-2566.223,-9023.404,-765.1094,-1810.447
0.01657523,-11018.01,-996.0691,-2515.137,-8989.056,-765.0747,-1853.305
0.01657655,-10947.38,-999.9194,-2496.146,-8914.216,-767.4426,-1822.028
0.01657718,-10862.7,-1011.407,-2458.866,-8855.489,-772.0482,-1719.481
0.01657718,-10810.13,-983.827,-2463.044,-8799.637,-739.3735,-1672.952
0.01657888,-10809.94,-985.6008,-2460.68,-8797.765,-753.4103,-1769.128
0.01657871,-10805.38,-954.5528,-2496.656,-8788.741,-728.8814,-1905.011
0.01657829,-10781.54,-953.9971,-2536.15,-8765.681,-728.6757,-1872.77
0.01657457,-10736.43,-955.512,-2538.966,-8727.085,-732.0654,-1771.152
0.01657457,-10692.19,-964.2513,-2457.998,-8694.275,-730.7759,-1690.154
0.01658082,-10708.3,-960.5783,-2470.83,-8699.243,-728.9147,-1802.804
0.01658082,-10673.84,-985.3325,-2478.804,-8674.75,-751.583,-1778.578
