Time,Ax,Ay,Az,Gx,Gy,Gz
0.0165593,0,0,0,0,0,0,0
0.215322,-7815.816,1954.788,-6113.763,-6096.622,1209.997,-3762.013,0
0.215322,-10451.39,2161.131,-7773.931,-7429.769,1099.261,-4094.404,0
0.1490772,-10565.58,1934.17,-7132.008,-7882.278,1290.043,-4121.721,0
0.1490772,-10092.21,1897.28,-6516.117,-7937.712,1240.215,-4273.583,0
0.1490772,-9805.688,1837.114,-6406.982,-7987.843,1182.148,-4457.004,0
0.1490772,-9665.081,1771.514,-6192.542,-8050.069,1215.696,-4480.3,0
0.1490772,-9565.121,1713.587,-6071.899,-8037.757,1307.562,-4558.429,0
0.1490772,-9474.094,1798.495,-6122.706,-7972.142,1275.037,-4557.794,0
0.1490772,-9390.457,1823.9,-6132.525,-7868.622,1267.852,-4556.359,0
0.1490772,-9382.459,1832.464,-6156.374,-7807.992,1310.055,-4549.817,0
0.1490772,-9335.356,1843.033,-6210.818,-7729.094,1348.764,-4528.683,0
0.1490772,-9210.916,1875.364,-6149.791,-7613.723,1429.089,-4402.865,0
0.1490772,-9160.269,1925.873,-6087.994,-7553.129,1416.778,-4484.525,0
0.1490772,-9078.745,1970.133,-6136.744,-7480.316,1414.806,-4415.702,0
0.1490643,-9019.336,1941.265,-6125.897,-7423.202,1256.068,-4473.335,0
0.03312007,-8892.012,1870.553,-6182.861,-7319.763,1163.787,-4442.635,0
0.03312007,-8886.736,1814.64,-6277.53,-7314.419,1373.129,-4622.577,0
0.03312007,-8908.278,2026.198,-6350.248,-7320.645,1824.8,-4559.505,0
0.03312007,-8985.375,2398.831,-6077.542,-7373.811,1932.751,-4359.704,0
0.04969875,-8941.86,2458.787,-5933.433,-7326.16,1676.505,-4167.321,0
0.01656401,-8786.609,2231.816,-5876.993,-7207.266,1602.032,-4204.788,0
0.01656401,-8658.774,2160.433,-5823.913,-7110.46,1583.257,-4083.056,0
0.01630302,-8662.809,2078.824,-5634.971,-7110.825,1655.616,-4126.557,0
0.01630302,-8657.291,2130.215,-5922.936,-7104.226,1462.083,-4388.829,0
0.0165623,-8687.694,2020.521,-6101.274,-7125.356,1324.637,-4307.864,0
0.01656171,-8691.799,1929.997,-5971.309,-7122.101,1376.048,-4115.603,0
0.01656179,-8594.37,1961.969,-5775.867,-7045.985,1317.442,-4274.139,0
0.01656159,-8552.54,1819.999,-5983.204,-7012.87,1264.286,-4476.85,0
0.01656326,-8531.764,1713.625,-6052.871,-7000.544,1199.905,-4421.576,0
0.01656139,-8548.138,1709.743,-6029.259,-7016.742,1094.957,-4375.529,0
0.01656139,-8538.728,1731.437,-6040.705,-7008.834,995.8143,-4549.831,0
0.01656336,-8600.714,1695.59,-6197.268,-7046.679,1246.624,-4528.276,0
0.01656384,-8642.184,1907.106,-6228.075,-7077.575,1366.03,-4622.721,0
0.01656202,-8676.037,1977.297,-6211.303,-7111.445,1541.842,-4386.596,0
0.01656738,-8672.226,2073.507,-5982.063,-7103.214,1478.318,-4359.854,0
0.01655924,-8651.817,2021.923,-6050.074,-7091.3,1448.504,-4336.306,0
0.01656339,-8675.278,1970.936,-5956.492,-7104.162,1488.355,-4256.634,0
0.01656339,-8680.032,2006.596,-5910.091,-7098.302,1442.366,-4240.517,0
0.01656524,-8638.399,1993.218,-5952.356,-7074.83,1404.71,-4316.841,0
0.01657137,-8620.052,1950.924,-5965.39,-7060.471,1470.863,-4238.731,0
0.01657137,-8618.767,1967.024,-5900.209,-7050.383,1473.26,-4253.388,0
0.01656055,-8616.377,1975.276,-5893.967,-7061.659,1447.216,-4241.115,0
0.01656055,-8593.789,1921.938,-5931.373,-7044.225,1359.544,-4266.327,0
0.01657098,-8586.997,1909.275,-5910.898,-7030.093,1385.501,-4231.131,0
0.01657098,-8548.45,1908.232,-5894.14,-7009.502,1354.364,-4263.413,0
0.01656385,-8600.367,1872.397,-5933.417,-7044.802,1345.194,-4288.28,0
0.01656385,-8626.185,1870.081,-5931.402,-7059.979,1345.623,-4280.366,0
0.03312334,-8646.48,1896.138,-5914.281,-7066.433,1366.302,-4247.65,0
0.03312334,-8625.715,1883.282,-5950.292,-7059.229,1361.581,-4251.72,0
0.01666238,-8606.767,1908.613,-5939.034,-7049.065,1363.325,-4272.232,0
0.01657982,-8612.22,1856.839,-5929.26,-7053.174,1336.607,-4248.155,0
0.01657982,-8627.479,1821.109,-5930.845,-7064.751,1279.371,-4215.375,0
0.01668842,-8659.48,1810.946,-5926.938,-7089.059,1238.783,-4230.255,0
0.01656181,-8622.46,1809.172,-5911.847,-7047.277,1229.871,-4143.779,0
0.01656181,-8594.864,1785.095,-5879.198,-7039.475,1370.908,-4229.95,0
0.01658045,-8572.322,1857.777,-5965.283,-7017.884,1424.858,-4278.921,0
0.01658536,-8558.152,1877.872,-5923.962,-7007.206,1334.798,-4233.378,0
0.01657923,-8583.398,1803.394,-5924.596,-7031.085,1301.785,-4261.332,0
0.01657923,-8619.461,1808.291,-5986.969,-7058.664,1314.911,-4257.966,0
0.01603563,-8624.971,1877.248,-5951.01,-7058.345,1358.867,-4213.76,0
0.01658123,-8596.932,1875.368,-5937.155,-7032.417,1483.086,-4147.014,0
0.01658071,-8553.852,1977.868,-5886.285,-7008.43,1653.757,-4074.342,0
0.01658071,-8538.993,2073.244,-5890.96,-6992.832,1666.382,-4151.22,0
0.01657734,-8550.551,2061.867,-5905.763,-7006.308,1528.704,-4108.474,0
0.01657734,-8535.542,1973.542,-5924.284,-6990.564,1478.135,-4107.378,0
0.01658195,-8490.46,1926.822,-5877.139,-6951.917,1384.359,-4133.36,0
0.01658053,-8488.939,1880.606,-5912.785,-6955.544,1364.14,-4146.95,0
0.01658174,-8485.402,1863.159,-5931.048,-6948.726,1368.229,-4278.693,0
0.01658174,-8455.021,1852.139,-6084.836,-6934.7,1321.558,-4411.067,0
0.01657743,-8432.482,1733.678,-6183.086,-6917.86,1311.514,-4476.358,0
0.01657998,-8349.124,1705.55,-6201.996,-6850.211,1266.524,-4639.24,0
0.01605304,-8403.303,1551.065,-6248.802,-6887.83,1067.577,-4718.441,0
0.01657941,-8588.753,1427.883,-6327.779,-7029.809,757.7943,-4659.504,0
0.01657899,-8645.042,1307.098,-6311.091,-7072.439,662.2399,-4639.562,0
0.01657879,-8678.247,1374.967,-6328.936,-7101.701,1083.145,-4581.125,0
0.01657058,-8602.536,1711.674,-6238.885,-7038.883,1313.532,-4599.241,0
0.01657058,-8525.391,1811.346,-6239.842,-6979.767,1457.464,-4654.397,0
0.01656828,-8544.476,1795.544,-6315.634,-6998.857,1463.452,-4685.202,0
0.01656828,-8592.325,1683.091,-6343.819,-7039.812,1219.905,-4584.522,0
0.03314582,-8706.563,1506.769,-6232.832,-7126.817,1025.949,-4506.655,0
0.03314582,-8750.38,1499.975,-6097.721,-7150.791,1006.224,-4320.565,0
0.01657128,-8659.439,1500.25,-6045.57,-7076.251,1171.588,-4394.048,0
0.01657013,-8568.859,1524.32,-6025.878,-7015.715,1275.16,-4431.261,0
0.01657013,-8574.679,1610.398,-6075.806,-7015.825,1249.589,-4328.213,0
0.03314495,-8588.137,1571.966,-6026.182,-7021.742,1230.482,-4349.775,0
0.01657012,-8610.419,1548.587,-6053.147,-7047.639,1170.093,-4510.953,0
0.01657497,-8598.035,1513.723,-6137.776,-7024.81,985.6226,-4461.715,0
0.01657471,-8617.116,1398.736,-6081.159,-7052.673,1046.203,-4401.803,0
0.01656701,-8653.854,1399.405,-6111.918,-7076.186,972.1495,-4496.92,0
0.01657241,-8643.932,1325.875,-6153.611,-7072.823,880.3124,-4491.243,0
0.0165728,-8669.982,1258.955,-6149.076,-7096.973,884.6308,-4432.214,0
0.0165728,-8684.877,1264.564,-6079.489,-7103.652,854.8683,-4327.568,0
0.01656947,-8728.472,1288.319,-5965.41,-7132.222,937.2069,-4296.247,0
0.01656947,-8692.314,1410.833,-5984.202,-7104.218,1075.747,-4252.518,0
0.01657232,-8677.286,1478.207,-5922.582,-7092.527,1138.871,-4155.152,0
0.01657368,-8681.481,1540.702,-5923.215,-7095.591,1172.5,-4149.622,0
0.01657209,-8649.339,1552.723,-5918.744,-7079.779,1134.461,-4127.367,0
0.01656891,-8630.563,1494.469,-5869.309,-7052.133,985.0009,-4036.143,0
0.0331465,-8555.2,1427.86,-5845.955,-7003.554,817.7463,-4038.996,0
0.01657045,-8544.954,1333.75,-5825.881,-6991.644,788.9657,-4068.38,0
0.01657045,-8499.652,1318.176,-5904.642,-6948.557,810.3522,-4175.851,0
0.01657004,-8471.631,1339.79,-5944.073,-6932.106,793.8253,-4232.032,0
0.01657004,-8475.126,1321.199,-5987.176,-6939.756,842.8967,-4302.403,0
0.01656965,-8482.584,1350.469,-6058.597,-6937.052,898.7244,-4380.007,0
0.01657155,-8540.765,1406.81,-6052.146,-6999.593,863.6367,-4442.73,0
0.01656931,-8521.18,1418.942,-6180.452,-6975.879,842.9211,-4571.96,0
0.01656968,-8500.999,1439.86,-6239.508,-6965.088,930.5517,-4632.874,0
0.01657105,-8465.285,1526.842,-6326.969,-6933.625,1012.956,-4677.935,0
0.0165743,-8526.865,1542.969,-6323.472,-6980.981,1075.255,-4668.087,0
0.01657022,-8515.571,1562.398,-6340.157,-6972.436,1159.054,-4697.364,0
0.01657237,-8560.105,1633.559,-6310.389,-7006.541,1203.518,-4638.034,0
0.01657283,-8602.76,1679.958,-6308.388,-7043.459,1184.872,-4648.133,0
0.01657183,-8635.208,1661.458,-6287.616,-7054.696,1172.117,-4612.681,0
0.01657183,-8663.43,1601.111,-6201.167,-7075.933,1207.896,-4587.124,0
0.01657094,-8578.478,1623.474,-6200.158,-7024.001,1211.105,-4587.481,0
0.01657158,-8599.599,1665.22,-6164.741,-7031.219,1130.245,-4525.047,0
0.01657158,-8634.931,1625.031,-6174.554,-7062.521,1145.136,-4514.824,0
0.01657115,-8692.994,1591.792,-6084.763,-7102.178,1219.155,-4456.268,0
0.01657115,-8677.495,1620.378,-6086.807,-7098.79,1170.811,-4427.143,0
0.01665322,-8654.606,1620.725,-6085.933,-7076.554,1184.362,-4440.958,0
0.01656997,-8648.447,1583.164,-6075.771,-7071.653,1110.817,-4457.032,0
0.01656832,-8656.718,1566.722,-6102.738,-7073.381,1126.506,-4498.632,0
0.01656832,-8699.97,1582.049,-6131.339,-7106.238,1148.998,-4506.96,0
0.01657151,-8712.618,1601.39,-6117.755,-7111.154,1177.795,-4510.974,0
0.01670758,-8732.67,1562.314,-6087.596,-7130.581,1152.489,-4498.479,0
0.01656927,-8756.021,1540.693,-6088.1,-7148.042,1140.39,-4465.724,0
0.01657166,-8775.602,1533.696,-6055.43,-7162.575,1144.514,-4448.42,0
0.01656952,-8817.28,1550.2,-6057.952,-7193.946,1148.576,-4420.128,0
0.01657093,-8847.362,1552.202,-5957.93,-7211.925,1147.889,-4284.514,0
0.01657093,-8799.566,1548.349,-5931.339,-7183.707,1146.884,-4273.012,0
0.01657312,-8733.258,1535.403,-5926.665,-7137.155,1097.682,-4292.365,0
0.01657102,-8690.879,1513.392,-5947.708,-7095.861,1071.055,-4301.874,0
0.01657102,-8682.639,1495.469,-5914.542,-7085.248,1060.379,-4288.702,0
0.01657165,-8681.305,1488.69,-5932.74,-7084.368,1046.614,-4302.318,0
0.01656203,-8722.862,1480.671,-5912.599,-7120.648,1047.704,-4271.03,0
0.01610175,-8768.309,1490.655,-5873.656,-7146.42,1066.398,-4245.675,0
0.01610175,-8787.826,1451.983,-5853.747,-7174.408,1027.087,-4221.641,0
0.01657055,-8730.3,1452.142,-5908,-7130.211,1021.999,-4253.696,0
0.01657055,-8783.939,1446.354,-5846.517,-7162.26,1030.071,-4196.323,0
