Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
9.178015,0,0,0,0,0,0,0,0
9.178015,-9731.526,103.8944,-109.7625,-1394.105,244.932,420.7789,0,0
9.2775,-15088.78,-209.4671,-351.5245,-2409.107,132.9316,323.6758,0,0
9.2775,-17664.51,-376.8181,-458.2231,-2884.694,11.7138,258.8463,0,0
9.29408,-18745.13,-552.8215,-579.4383,-3065.865,-83.6217,223.4268,0,0
9.29408,-19164.65,-551.804,-551.4509,-3112.085,-158.7796,263.1835,0,0
9.29408,-19229.47,-618.2773,-541.5773,-3124.396,-249.725,269.4006,0,0
9.29408,-19273.74,-683.1295,-516.0923,-3132.816,-302.8559,459.4529,0,0
9.327241,-19318.73,-543.3883,-616.4812,-3137.567,-273.1644,465.5202,0,0
9.343821,-19248.87,-511.2129,-695.7232,-3126.44,-185.9833,492.5454,0,0
9.376983,-19198.44,-500.525,-700.455,-3116.564,-129.8668,472.023,0,0
9.376983,-19135.51,-519.4457,-726.8043,-3103.344,-143.5145,518.6829,0,0
9.426723,-19117.44,-566.3732,-782.444,-3101.217,-145.5316,434.7943,0,0
9.426723,-19104.17,-599.3694,-866.2535,-3093.365,-207.2709,381.2519,0,0
9.476464,-19042.14,-624.2689,-883.5782,-3080.52,-257.2395,282.8421,0,0
9.476464,-18978.28,-625.1149,-860.6042,-3067.169,-307.6902,231.5464,0,0
9.526204,-18886.98,-622.0384,-852.6124,-3056.695,-316.1194,221.2752,0,0
9.559365,-18784.13,-623.0453,-885.3606,-3051.949,-272.1971,185.0115,0,0
9.559365,-18735.65,-621.7886,-876.5601,-3034.284,-236.8245,181.7305,0,0
9.642265,-18655.13,-631.5854,-881.2394,-3006.35,-181.5423,178.3078,0,0
9.658848,-18553.36,-650.0908,-859.699,-2987.825,-131.0252,144.4312,0,0
9.692008,-18440.97,-660.1684,-830.9021,-2963.847,-91.24786,107.2664,0,0
9.692008,-18312.6,-702.3083,-837.4157,-2940.43,-81.24039,87.1754,0,0
9.741747,-18178.73,-706.2593,-816.1409,-2922.32,-122.3981,95.32326,0,0
9.741747,-18077.46,-668.6217,-823.5856,-2908.728,-183.5878,89.14881,0,0
9.791491,-17924.45,-642.6296,-820.9881,-2890.086,-219.73,28.56302,0,0
9.791491,-17859.62,-650.2712,-770.7427,-2876.82,-252.4697,-33.80162,0,0
9.824651,-17774.83,-662.5952,-769.9844,-2845.7,-281.1851,-19.17072,0,0
